Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,HOUR,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
1/1/2017,01,CENTRAL,56,23,47,71,61,42,2
1/1/2017,02,CENTRAL,50,17,32,39,69,36,1
1/1/2017,03,CENTRAL,56,14,36,46,65,31,2
1/1/2017,04,CENTRAL,46,13,21,27,73,27,1
1/1/2017,05,CENTRAL,46,6,18,23,70,16,1
1/1/2017,06,CENTRAL,42,5,16,19,69,16,1
1/1/2017,07,CENTRAL,40,4,28,36,61,14,2
1/1/2017,08,CENTRAL,41,9,33,48,57,20,1
1/1/2017,09,CENTRAL,50,3,45,67,43,13,1
1/1/2017,10,CENTRAL,66,8,46,71,42,19,1
1/1/2017,11,CENTRAL,67,9,40,62,48,23,2
1/1/2017,12,CENTRAL,70,12,60,98,44,25,2
1/1/2017,13,CENTRAL,77,16,67,107,52,27,4
1/1/2017,14,CENTRAL,77,16,63,91,62,27,3
1/1/2017,15,CENTRAL,81,20,66,90,64,31,4
1/1/2017,16,CENTRAL,73,19,34,34,91,30,4
1/1/2017,17,CENTRAL,70,20,48,48,76,33,4
1/1/2017,18,CENTRAL,70,17,53,53,76,29,4
1/1/2017,19,CENTRAL,73,17,72,89,65,33,4
1/1/2017,20,CENTRAL,67,15,85,122,48,31,3
1/1/2017,21,CENTRAL,66,13,80,117,45,30,5
1/1/2017,22,CENTRAL,62,13,67,93,52,30,3
1/1/2017,23,CENTRAL,59,8,61,80,56,24,3
1/1/2017,24,CENTRAL,58,10,61,85,54,26,3
2/1/2017,01,CENTRAL,65,13,54,71,60,30,3
2/1/2017,02,CENTRAL,66,13,47,59,70,30,3
2/1/2017,03,CENTRAL,66,14,45,53,64,29,4
2/1/2017,04,CENTRAL,63,15,33,39,67,30,4
2/1/2017,05,CENTRAL,56,11,24,26,73,25,3
2/1/2017,06,CENTRAL,54,7,21,25,73,20,4
2/1/2017,07,CENTRAL,56,7,38,54,56,22,4
2/1/2017,08,CENTRAL,58,10,56,86,44,27,4
2/1/2017,09,CENTRAL,65,11,64,100,36,28,4
2/1/2017,10,CENTRAL,76,14,64,91,39,32,4
2/1/2017,11,CENTRAL,94,17,81,129,34,34,4
2/1/2017,12,CENTRAL,88,13,82,134,39,33,4
2/1/2017,13,CENTRAL,84,11,79,127,51,27,4
2/1/2017,14,CENTRAL,67,10,68,99,62,20,3
2/1/2017,15,CENTRAL,67,9,81,107,58,21,3
2/1/2017,16,CENTRAL,75,15,124,187,36,30,7
2/1/2017,17,CENTRAL,89,25,184,384,5,44,14
2/1/2017,18,CENTRAL,106,30,196,472,3,53,16
2/1/2017,19,CENTRAL,121,34,180,558,2,64,20
2/1/2017,20,CENTRAL,103,38,184,502,2,81,20
2/1/2017,21,CENTRAL,107,42,168,440,2,73,23
2/1/2017,22,CENTRAL,127,47,160,441,2,73,20
2/1/2017,23,CENTRAL,127,49,157,377,2,72,13
2/1/2017,24,CENTRAL,122,42,144,372,2,62,12
3/1/2017,01,CENTRAL,146,35,124,399,2,52,13
3/1/2017,02,CENTRAL,118,24,96,213,2,36,6
3/1/2017,03,CENTRAL,118,19,97,190,3,29,5
3/1/2017,04,CENTRAL,114,19,104,177,3,30,6
3/1/2017,05,CENTRAL,121,40,123,228,3,53,7
3/1/2017,06,CENTRAL,122,51,118,220,4,66,6
3/1/2017,07,CENTRAL,118,36,133,291,2,51,6
3/1/2017,08,CENTRAL,87,38,103,199,15,56,10
3/1/2017,09,CENTRAL,80,37,106,223,17,56,8
3/1/2017,10,CENTRAL,77,24,92,178,22,41,6
3/1/2017,11,CENTRAL,80,15,89,162,26,32,5
3/1/2017,12,CENTRAL,78,16,79,133,32,33,4
3/1/2017,13,CENTRAL,77,18,76,121,37,33,3
3/1/2017,14,CENTRAL,76,12,79,122,49,24,3
3/1/2017,15,CENTRAL,82,19,85,131,52,33,4
3/1/2017,16,CENTRAL,75,23,95,149,43,38,3
3/1/2017,17,CENTRAL,74,20,90,137,40,34,3
3/1/2017,18,CENTRAL,76,17,96,152,37,31,4
3/1/2017,19,CENTRAL,75,10,103,210,26,23,4
3/1/2017,20,CENTRAL,74,7,88,171,32,16,3
3/1/2017,21,CENTRAL,76,10,73,114,38,19,3
3/1/2017,22,CENTRAL,86,9,72,118,36,20,2
3/1/2017,23,CENTRAL,72,5,63,98,42,15,2
3/1/2017,24,CENTRAL,95,6,62,94,51,18,2
4/1/2017,01,CENTRAL,63,11,54,80,60,25,2
4/1/2017,02,CENTRAL,63,16,33,42,84,29,1
4/1/2017,03,CENTRAL,68,19,27,31,90,33,1
4/1/2017,04,CENTRAL,59,18,21,23,88,33,1
4/1/2017,05,CENTRAL,53,13,16,16,81,25,1
4/1/2017,06,CENTRAL,57,10,24,27,69,19,2
4/1/2017,07,CENTRAL,53,10,36,44,61,19,2
4/1/2017,08,CENTRAL,59,9,69,110,38,17,3
4/1/2017,09,CENTRAL,77,11,97,188,23,20,4
4/1/2017,10,CENTRAL,84,15,101,193,23,26,4
4/1/2017,11,CENTRAL,92,18,92,165,30,30,4
4/1/2017,12,CENTRAL,87,21,85,133,42,33,4
4/1/2017,13,CENTRAL,83,19,75,113,53,31,4
4/1/2017,14,CENTRAL,92,21,98,151,44,33,5
4/1/2017,15,CENTRAL,87,21,108,175,35,35,5
4/1/2017,16,CENTRAL,85,15,96,161,36,24,4
4/1/2017,17,CENTRAL,86,14,106,176,36,23,5
4/1/2017,18,CENTRAL,102,21,141,256,25,34,6
4/1/2017,19,CENTRAL,103,30,154,262,19,45,11
4/1/2017,20,CENTRAL,110,34,138,234,26,49,14
4/1/2017,21,CENTRAL,116,32,126,191,27,46,6
4/1/2017,22,CENTRAL,117,33,124,208,23,46,6
4/1/2017,23,CENTRAL,105,21,95,146,40,35,5
4/1/2017,24,CENTRAL,98,27,84,116,51,41,6
5/1/2017,01,CENTRAL,102,25,89,146,41,41,7
