ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (February 2019)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2019-02-01,01,4,4,5,5,4,4,4,4,4,4,4,4,3,5,5,5
,02,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4
,03,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3
,04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,05,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
,11,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3
,12,3,3,3,3,3,3,3,3,3,3,3,3*,3,3*,4,3
,13,3,3,3,3,3,3,3,3,3,3,3,3*,3,3*,4,3
,14,3,3,4,3,3,3,3,3,3,3,3,3*,*,4*,4,3
,15,4,3,4,3,3,3,3,3,3,3,3,3*,*,4*,4,4
,16,4,4,4,4,3,4,4,4,4,3,3,4,3,4,4,4
,17,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4
,18,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
,19,4,4*,4,4,4,4,4,4,4,4,4,4,3,4,4,4
,20,4,4*,4,4,4,4,4,4,4,3,4,4,3,4,4,4
,21,4,4*,4,4,4,4,4,4,4,3,4,4,3,4,4,4
,22,4,4*,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,23,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
,24,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
,Daily Max,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,5
2019-02-02,01,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
,02,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4
,03,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,04,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,05,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,06,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
