LAT;;;;;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783
LON;;;;;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175
ASL;;;;;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000
CITY;;;;;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong
DOMAIN;;;;;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Sunshine Duration;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;min;km/h;°;km/h;°;km/h;°
AGGREGATION;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;8;8;8;8;8;8;8;8;8;8;8

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Sunshine Duration  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb]
2019;01;20;00;00;19.06;86.00;1018.50;0.00;-999.00;16.77;75.07;21.48;76.43;19.69;120.78
2019;01;20;01;00;18.06;92.00;1018.30;0.00;0.00;16.39;70.77;21.75;70.67;22.60;112.48
2019;01;20;02;00;18.23;91.00;1018.20;0.00;0.00;15.65;66.97;21.79;67.67;22.10;106.07
2019;01;20;03;00;18.96;87.00;1018.00;0.00;0.00;15.79;65.77;20.66;67.46;20.70;130.06
2019;01;20;04;00;18.13;91.00;1018.00;0.00;0.00;14.01;64.09;19.97;64.36;18.04;118.61
2019;01;20;05;00;18.50;88.00;1018.00;0.00;0.00;13.09;58.50;18.40;59.42;20.29;115.20
2019;01;20;06;00;17.52;92.00;1018.40;0.00;0.00;12.39;54.46;17.87;55.67;22.33;110.77
2019;01;20;07;00;18.38;85.00;1018.90;0.00;0.00;13.04;50.60;17.71;52.43;21.13;98.82
2019;01;20;08;00;19.18;79.00;1019.30;0.00;0.00;14.77;46.97;17.88;49.90;20.28;83.88
2019;01;20;09;00;20.20;71.00;1019.80;0.00;0.00;15.79;46.85;17.58;47.49;22.91;81.87
2019;01;20;10;00;21.97;61.00;1020.10;0.00;0.00;17.06;44.14;17.82;45.00;24.14;69.94
2019;01;20;11;00;24.03;53.00;1020.30;0.00;0.00;18.09;47.42;19.91;49.40;22.10;73.93
2019;01;20;12;00;24.95;50.00;1019.70;0.00;60.00;17.65;50.79;20.02;52.31;24.03;81.38
2019;01;20;13;00;25.41;49.00;1019.00;0.00;60.00;16.38;56.66;18.28;57.88;24.64;64.93
2019;01;20;14;00;25.55;48.00;1018.50;0.00;60.00;14.97;62.82;16.90;63.43;22.39;53.50
2019;01;20;15;00;25.40;50.00;1018.00;0.00;60.00;13.36;75.96;14.84;75.96;19.37;48.01
2019;01;20;16;00;24.50;54.00;1017.90;0.00;60.00;12.98;93.18;14.11;95.86;20.75;38.66
2019;01;20;17;00;22.70;61.00;1017.90;0.00;60.00;13.44;97.70;15.39;100.78;24.12;37.72
2019;01;20;18;00;20.75;70.00;1018.30;0.00;51.70;12.60;90.00;15.48;90.00;23.69;53.65
2019;01;20;19;00;20.61;75.00;1019.00;0.00;3.66;13.68;63.43;15.46;65.22;20.86;68.75
2019;01;20;20;00;19.39;58.00;1019.60;0.00;0.00;30.28;28.39;36.89;28.57;27.68;69.44
2019;01;20;21;00;17.95;60.00;1020.10;0.00;0.00;31.89;28.30;37.36;27.55;28.14;73.65
2019;01;20;22;00;17.01;62.00;1020.90;0.00;0.00;33.05;33.00;40.04;33.26;27.82;79.56
2019;01;20;23;00;16.22;64.00;1021.60;0.00;0.00;31.26;35.15;35.15;34.99;32.50;85.55
2019;01;21;00;00;15.65;63.00;1021.80;0.00;0.00;29.46;32.52;31.86;32.07;35.03;77.54
2019;01;21;01;00;14.79;65.00;1021.90;0.00;0.00;33.22;29.90;37.87;29.00;36.30;82.59
2019;01;21;02;00;13.88;65.00;1022.10;0.00;0.00;32.70;28.26;38.82;28.23;34.32;85.19
2019;01;21;03;00;13.28;66.00;1022.00;0.00;0.00;32.87;28.81;38.01;28.26;32.14;80.33
2019;01;21;04;00;12.80;68.00;1021.90;0.00;0.00;32.38;28.56;38.33;28.01;29.09;77.86
2019;01;21;05;00;12.39;69.00;1021.90;0.00;0.00;29.63;27.50;31.24;27.45;26.81;75.22
2019;01;21;06;00;12.14;69.00;1022.40;0.00;0.00;28.02;27.55;29.14;27.20;26.55;77.47
2019;01;21;07;00;11.96;70.00;1022.80;0.00;0.00;26.09;27.98;24.97;28.41;26.76;72.78
2019;01;21;08;00;12.27;69.00;1023.10;0.00;0.00;26.49;31.10;25.07;32.09;24.87;67.89
2019;01;21;09;00;13.98;63.00;1023.50;0.00;60.00;26.66;34.55;24.27;35.34;22.23;65.10
